國道編號,隸屬縣市,坐標X-TWD97,坐標Y-TWD97,坐標X-WGS84,坐標Y-WGS84,公告樁號,性質,牌面內容,方向與備註
國道1號,彰化縣,199912.281,2653562.418,120.507754,23.98602061,100,匝道里程,100,埔鹽系統交流道
國道1號,彰化縣,199805.144,2652682.065,120.5067314,23.97806829,100,匝道里程,100,埔鹽系統交流道
國道1號,彰化縣,199752.17,2650633.627,120.5062813,23.9595707,100,匝道里程,100,員林交流道
國道1號,彰化縣,199741.272,2650253.386,120.5061873,23.95613705,100,匝道里程,100,員林交流道
國道1號,彰化縣,199881.72,2649889.46,120.5075797,23.95285549,100,匝道里程,100,員林交流道
國道1號,彰化縣,199578.429,2649903.931,120.5045994,23.95297657,100,匝道里程,100,員林交流道
國道1號,彰化縣,199691.604,2649843.733,120.5057134,23.9524366,100,匝道里程,100,員林交流道
國道1號,彰化縣,199768.068,2649667.817,120.5064707,23.95085062,100,匝道里程,100,員林交流道
國道1號,彰化縣,198133.036,2641755.583,120.4906871,23.87935607,0,匝道里程,0,北斗交流道
國道1號,彰化縣,198282.379,2641251.52,120.4921713,23.87480954,0,匝道里程,0,北斗交流道
國道1號,臺中市,219646.176,2689833.91,120.7009284,24.31402571,0,匝道里程,0,后里交流道
國道1號,臺中市,219551.215,2689799.633,120.6999935,24.31371438,0,匝道里程,0,后里交流道
國道1號,臺中市,218616.079,2684960.471,120.6908857,24.27000261,0,匝道里程,0,台中系統交流道
國道1號,臺中市,219287.552,2685183.453,120.6974945,24.27202925,0,匝道里程,0,台中系統交流道
國道1號,臺中市,218827.654,2685438.622,120.6929592,24.27432412,0,匝道里程,0,台中系統交流道
國道1號,臺中市,218783.223,2684520.904,120.6925415,24.26603704,0,匝道里程,0,台中系統交流道
國道1號,臺中市,218854.79,2684768.538,120.693241,24.26827439,0,匝道里程,0,台中系統交流道
國道1號,臺中市,218430.586,2682857.391,120.6891049,24.25100989,0,匝道里程,0,豐原交流道
國道1號,臺中市,218554.711,2682865.056,120.6903271,24.25108159,0,匝道里程,0,豐原交流道
國道1號,臺中市,218461.041,2682885.481,120.6894042,24.25126413,0,匝道里程,0,豐原交流道
國道1號,臺中市,219120.577,2685131.256,120.695851,24.27155467,0,匝道里程,0,台中系統交流道
國道1號,臺中市,215147.915,2677821.732,120.6568995,24.2054727,0,匝道里程,0,大雅交流道
國道1號,臺中市,215054.438,2677854.077,120.6559785,24.20576267,0,匝道里程,0,大雅交流道
國道1號,臺中市,215181.289,2677529.394,120.6572351,24.20283387,0,匝道里程,0,大雅交流道
國道1號,臺中市,212514.811,2674586.972,120.6310624,24.17620494,0,匝道里程,0,台中交流道
國道1號,臺中市,212648.158,2674386.348,120.63238,24.17439664,,匝道里程,0,台中交流道
國道1號,臺中市,212358.301,2674549.617,120.629523,24.17586392,,匝道里程,0,台中交流道
國道1號,臺中市,212438.592,2674435.174,120.6303162,24.17483251,0,匝道里程,0,台中交流道
國道1號,臺中市,212154.455,2674028.06,120.6275304,24.1711498,0,匝道里程,0,台中交流道
國道1號,臺中市,211355.132,2672323.669,120.6197093,24.15574112,0,匝道里程,0,南屯交流道
國道1號,臺中市,211293.937,2671177.257,120.6191378,24.14538844,0,匝道里程,0,南屯交流道
國道1號,臺中市,208071.516,2668178.251,120.5875171,24.11822744,0,匝道里程,0,王田交流道
國道1號,臺北市,311605.961,2773187.901,121.61064,25.06564734,0,匝道里程,0,東湖交流道
國道1號,臺北市,311407.324,2773096.124,121.6086671,25.06482688,0,匝道里程,0,東湖交流道
國道1號,臺北市,309119.786,2773264.593,121.5860013,25.06643901,0,匝道里程,0,內湖交流道
國道1號,臺北市,304186.496,2773955.355,121.537131,25.07286008,0,匝道里程,0,圓山交流道
國道1號,臺北市,303902.103,2773972.778,121.5343127,25.07302754,0,匝道里程,0,圓山交流道
國道1號,臺北市,303861.749,2773942.348,121.5339115,25.07275426,0,匝道里程,0,圓山交流道
國道1號,臺北市,303831.598,2773729.161,121.5336043,25.07083071,0,匝道里程,0,圓山交流道
國道1號,臺北市,303819.979,2773777.016,121.533491,25.07126315,0,匝道里程,0,圓山交流道
國道1號,臺北市,303506.846,2773973.144,121.5303948,25.0730449,0,匝道里程,0,圓山交流道
國道1號,臺北市,301845.111,2774532.414,121.5139442,25.07815189,0,匝道里程,0,台北交流道
國道1號,臺北市,301820.813,2774459.563,121.5137006,25.07749503,0,匝道里程,0,台北交流道
國道1號,臺北市,301778.98,2774716.682,121.5132956,25.07981771,0,匝道里程,0,台北交流道
國道1號,臺北市,301248.347,2774507.685,121.5080277,25.077949,0,匝道里程,0,台北交流道
國道1號,臺南市,177637.221,2578827.474,120.2924908,23.31035816,0,匝道里程,0,新營交流道
國道1號,臺南市,177544.505,2578560.709,120.2915971,23.30794526,0,匝道里程,0,新營交流道
國道1號,臺南市,177535.968,2578454.94,120.2915187,23.30698982,0,匝道里程,0,新營交流道
國道1號,臺南市,177401.663,2578525.512,120.2902023,23.30762112,0,匝道里程,0,新營交流道
國道1號,臺南市,177373.098,2578405.237,120.2899288,23.30653381,0,匝道里程,0,新營交流道
國道1號,臺南市,177281.896,2578156.729,120.2890491,23.30428582,0,匝道里程,0,新營交流道
國道1號,臺南市,172221.611,2569173.889,120.240039,23.22294192,100,匝道里程,100,下營系統交流道
國道1號,臺南市,172152.188,2569076.688,120.2393657,23.22206095,100,匝道里程,100,下營系統交流道
國道1號,臺南市,172222.405,2568850.256,120.2400633,23.22001966,100,匝道里程,100,下營系統交流道
國道1號,臺南市,171985.164,2568874.805,120.2377442,23.22023011,100,匝道里程,100,下營系統交流道
國道1號,臺南市,171785.363,2568885.543,120.2357916,23.22031759,100,匝道里程,100,下營系統交流道
國道1號,臺南市,172448.961,2568609.67,120.242289,23.21785792,100,匝道里程,100,下營系統交流道
國道1號,臺南市,172255.665,2568629.935,120.2403995,23.2180318,100,匝道里程,100,下營系統交流道
國道1號,臺南市,172030.711,2568656.002,120.2382004,23.21825654,100,匝道里程,100,下營系統交流道
國道1號,臺南市,172100.473,2568407.114,120.2388947,23.21601246,100,匝道里程,100,下營系統交流道
國道1號,臺南市,172040.243,2568295.226,120.238312,23.2149993,100,匝道里程,100,下營系統交流道
國道1號,臺南市,171772.755,2565161.769,120.2358596,23.18669244,0,匝道里程,0,麻豆交流道
國道1號,臺南市,172780.287,2556770.506,120.2461247,23.11096864,0,匝道里程,0,安定交流道
國道1號,臺南市,173980.988,2553127.773,120.2580267,23.07813081,0,匝道里程,0,台南系統交流道
國道1號,臺南市,173319.991,2549443.621,120.2517595,23.04483288,100,匝道里程,100,永康交流道
國道1號,臺南市,173380.921,2549245.341,120.2523639,23.04304524,100,匝道里程,100,永康交流道
國道1號,臺南市,173447.435,2549212.841,120.2530145,23.04275483,100,匝道里程,100,永康交流道
國道1號,臺南市,173185.944,2549170.575,120.2504652,23.0423611,100,匝道里程,100,永康交流道
國道1號,臺南市,173394.703,2549082.124,120.2525065,23.04157204,100,匝道里程,100,永康交流道
國道1號,臺南市,173200.582,2549047.084,120.2506142,23.04124667,100,匝道里程,100,永康交流道
國道1號,臺南市,173284.129,2548870.207,120.2514382,23.03965334,100,匝道里程,100,永康交流道
國道1號,臺南市,173247.237,2548746.776,120.2510844,23.03853707,100,匝道里程,100,永康交流道
國道1號,臺南市,172915.321,2545185.569,120.2480243,23.00636425,0,匝道里程,000K+000,大灣交流道
國道1號,臺南市,172945.008,2538725.217,120.2486365,22.94802876,0,匝道里程,000K+000,仁德系統交流道
國道1號,臺南市,172939.862,2538479.097,120.2485986,22.94580606,0,匝道里程,000K+000,仁德系統交流道
國道1號,臺南市,173214.145,2537726.382,120.2513103,22.93902166,0,匝道里程,000K+000,仁德系統交流道
國道2號,桃園縣,271873.155,2773032.766,121.2168091,25.06534415,100,匝道里程,000K+100,機場端
